id,city,area,kind,title,blurb,address,lat,lng,schedule_kind,offset_minutes,day_offset,hour,minute,duration_min,price,tags,image,image_credit,coords_source
ct-cafe-chiffon,cape-town,Green Point,place,Café Chiffon,Small café tucked into the Old Cape Quarter courtyard. Good for a slow morning that doesn't turn into a whole plan.,"SHOP GF007, Old Cape Quarter, 72 Waterkant St, Green Point",-33.9060,18.4100,clock,,0,8,30,60,,coffee|food,/images/cafe-chiffon.jpg,TODO,provisional
ct-truth-coffee,cape-town,City Bowl,place,Truth Coffee Roasting,"Roastery and café on Buitenkant, as known for the steampunk fit-out as the coffee. Busy from opening.","36 Buitenkant St, Cape Town City Centre",-33.9250,18.4180,clock,,0,8,0,60,,coffee|food,/images/truth-coffee.jpg,TODO,provisional
ct-the-ladder,cape-town,City Bowl,place,The Ladder,Bree Street spot for a long breakfast or a working hour with a flat white.,"136 Bree St, Cape Town City Centre",-33.9250,18.4180,clock,,0,9,0,60,,coffee|food,/images/the-ladder.jpg,TODO,provisional
ct-strangers-club,cape-town,Green Point,place,The Strangers Club,"Neighbourhood café and bar off Braemar. Quiet in the morning, considerably less so later.","1 Braemar Rd, Green Point",-33.9060,18.4100,clock,,0,9,0,90,,coffee|food|social,/images/strangers-club.jpg,TODO,provisional
ct-hudsons,cape-town,Claremont,place,Hudsons,"Burgers and a room that stays loud. Go with people, not a book.","25 Protea Rd, Claremont",-33.9830,18.4650,clock,,0,18,30,90,,food|social,/images/hudsons.jpg,TODO,provisional
ct-the-barn,cape-town,Rondebosch,place,The Barn Restaurant,"Rondebosch standby on Klipfontein. Unfussy, reliable, easy to get a table.","Klipfontein Rd, Rondebosch",-33.9600,18.4750,clock,,0,18,30,90,,food,/images/the-barn.jpg,TODO,provisional
ct-hussar-grill,cape-town,Mouille Point,place,The Hussar Grill,Steak on Beach Road with the sea across the way. Book if it's a Friday.,"New Cumberland Building, Beach Rd, Mouille Point",-33.8990,18.4090,clock,,0,19,0,120,,food,/images/hussar-grill.jpg,TODO,provisional
ct-mulberry-prince,cape-town,City Bowl,place,Mulberry & Prince,"Pepper Street kitchen doing a short, changing menu. Small room, book ahead.","12 Pepper St, Cape Town City Centre",-33.9250,18.4180,clock,,0,19,0,120,,food,/images/mulberry-prince.jpg,TODO,provisional
ct-happy-uncles,cape-town,Salt River,place,The Happy Uncles,"Halal fine dining on Voortrekker Road. A proper sit-down evening, ten minutes from Woodstock.","100 Voortrekker Rd, Salt River",-33.9300,18.4650,clock,,0,19,0,120,,food|halal,/images/happy-uncles.jpg,TODO,provisional
ct-cecilia-forest,cape-town,Wynberg,event,Cecilia Forest climb,"Pine forest switchbacks up the back of the mountain, with a waterfall if you carry on. Shaded most of the way.","Cecilia Forest Hiking Trail, Wynberg",-34.0020,18.4670,clock,,1,7,0,150,,hiking|outdoors,/images/cecilia-forest.jpg,TODO,provisional
ct-silvermine,cape-town,Silvermine,event,Silvermine reservoir walk,Flat loop around the reservoir with the whole peninsula on either side. Easy enough to talk the whole way.,"Table Mountain National Park, Silvermine",-34.0900,18.4100,clock,,1,8,0,120,,hiking|outdoors|nature,/images/silvermine.jpg,TODO,provisional
ct-kloof-corner,cape-town,Table Mountain,event,Kloof Corner at golden hour,"Forty-five minutes up, the best view in the city, and back down before dark. Bring a jacket.","Contour Path, Table Mountain",-33.9620,18.4090,clock,,0,17,30,90,,hiking|outdoors,/images/kloof-corner.jpg,TODO,provisional
ct-newlands-forest,cape-town,Newlands,event,Newlands Forest run,Trails under the pines with the contour path if you want more. Cool even when town is baking.,"Table Mountain National Park, Newlands",-33.9770,18.4530,clock,,1,7,30,90,,running|hiking|outdoors,/images/newlands-forest.jpg,TODO,provisional
ct-mamma-mia,cape-town,Foreshore,event,MAMMA MIA! at Artscape,"The musical, full staging, at Artscape. The kind of night out you book for other people and then enjoy more than they do.","Artscape Theatre Centre, D.F. Malan St, Foreshore",-33.9190,18.4310,clock,,0,19,30,150,,live-shows|theatre|art,/images/mamma-mia.jpg,TODO,provisional
ct-womad,cape-town,Foreshore,event,WOMAD South Africa,"World music across several stages at Artscape — heritage, collaboration, and a lot of people dancing badly.","Artscape Theatre Centre, D.F. Malan St, Foreshore",-33.9190,18.4310,clock,,1,16,0,300,,live-shows|music|social|heritage,/images/womad.jpg,TODO,provisional
ct-extreme-festival,cape-town,Killarney Gardens,event,Extreme Festival at Killarney,"Motorsport day at Killarney. Loud, hot, and completely absorbing whether or not you know what you're watching.","6 Potsdam Rd, Table View",-33.8260,18.5250,clock,,1,10,0,360,,social|outdoors|motorsport,/images/extreme-festival.jpg,TODO,provisional
ct-clay-cafe-hout-bay,cape-town,Hout Bay,place,Clay Café Hout Bay,"Pick a piece, paint it, they fire it and you collect it later. Two hours disappear.","4080 Hout Bay Main Rd, Hout Bay",-34.0380,18.3540,clock,,0,10,0,120,,making|pottery|family,/images/clay-cafe-hout-bay.jpg,TODO,provisional
ct-city-rock,cape-town,Paarden Eiland,place,City Rock,Indoor climbing in Paarden Eiland. Walls for people who've never done it and walls for people who have.,"9 Milner St, Paarden Eiland",-33.9060,18.4750,clock,,0,17,0,120,,fitness|climbing|social,/images/city-rock.jpg,TODO,provisional
ct-rush-claremont,cape-town,Claremont,place,Rush Extreme,"Trampolines, foam pits, and a heart rate you weren't expecting. Better with a group.","25 Stegman Rd, Claremont",-33.9830,18.4650,clock,,0,16,0,90,,fitness|social|family,/images/rush.jpg,TODO,provisional
ct-kayak-adventures,cape-town,V&A Waterfront,event,Sunrise kayak from Battery Park,"Out past the harbour wall at first light. Seals most mornings, whales if you're lucky.","Battery Park, Dock Rd, V&A Waterfront",-33.9040,18.4200,clock,,1,6,30,120,,outdoors|paddling|nature,/images/kayak-adventures.jpg,TODO,provisional
ct-acrobranch,cape-town,Hout Bay,place,Acrobranch Hout Bay,Rope courses through the trees at increasing heights. You will find out quite quickly how you feel about heights.,"1 Hout Bay Main Rd, Hout Bay",-34.0380,18.3540,clock,,0,10,0,150,,outdoors|fitness|family,/images/acrobranch.jpg,TODO,provisional
ct-paragliding,cape-town,Signal Hill,event,Tandem paraglide off Signal Hill,Run off the side of Signal Hill strapped to someone who's done it a thousand times. Landing is on the Sea Point side.,"2 Signal Hill Rd, Signal Hill",-33.9150,18.4030,clock,,0,16,0,60,,outdoors,/images/paragliding.jpg,TODO,provisional
ct-chefs-studio,cape-town,City Bowl,event,Evening class at The Chefs Studio,"Bree Street kitchen, a small class, and something you can actually cook again on a Tuesday.","103 Bree St, Cape Town City Centre",-33.9250,18.4180,clock,,0,18,0,180,,making|cooking|food|social,/images/chefs-studio.jpg,TODO,provisional
